slug,name,region,latitude,longitude,break_type,orientation_deg
cave,Cave,Lisbon,38.9944558,-9.424889,,244.9
crazy-left,Crazy Left,Lisbon,38.9966553,-9.4260602,,282.6
praia-do-matadouro,Praia do Matadouro,Lisbon,38.9755499,-9.4204061,,271.6
praia-do-lagoal,Praia do Lagoal,Lisbon,38.6982239,-9.2792914,,186.6
praia-do-tamariz,Praia do Tamariz,Lisbon,38.7026739,-9.4000209,,203.1
praia-da-cresmina,Praia da Cresmina,Lisbon,38.7252003,-9.4763982,,279.2
praia-do-dragao-vermelho,Praia do Dragão Vermelho,Lisbon,38.6397208,-9.23727,,240.0
praia-do-paraiso,Praia do Paraíso,Lisbon,38.6418015,-9.2388036,,239.0
praia-nova,Praia Nova,Lisbon,38.6375692,-9.2354981,,
prainha-do-porto-brandao,Prainha do Porto Brandão,Lisbon,38.6772654,-9.2072715,,348.9
praia-de-sao-lourenco,Praia de São Lourenço,Lisbon,39.0118239,-9.4214653,,275.1
praia-dos-coxos,Praia dos Coxos,Lisbon,39.0042429,-9.4254665,,334.3
praia-ribeira-d-ilhas,Praia Ribeira d' Ilhas,Lisbon,38.9877441,-9.4192466,,244.3
praia-da-parede,Praia da Parede,Lisbon,38.6855906,-9.3539299,,195.6
praia-da-calada,Praia da Calada,Lisbon,39.0328411,-9.4184306,,274.5
praia-da-cruz-quebrada,Praia da Cruz Quebrada,Lisbon,38.6992208,-9.252013,,190.2
praia-do-dafundo,Praia do Dafundo,Lisbon,38.697473,-9.238085,,205.1
praia-do-forte,Praia do Forte,Lisbon,38.6979294,-9.2755119,,179.7
praia-de-caxias,Praia de Caxias,Lisbon,38.6982819,-9.2739983,,172.7
giribita,Giribita,Lisbon,38.697028,-9.2843206,,166.7
praia-da-laje,Praia da Laje,Lisbon,38.6834317,-9.3141543,,124.1
praia-de-paco-de-arcos,Praia de Paço de Arcos,Lisbon,38.6904448,-9.2968356,,153.7
praia-velha,Praia Velha,Lisbon,38.6930465,-9.2915902,,57.7
praia-de-santa-marta,Praia de Santa Marta,Lisbon,38.6918486,-9.4219572,,149.3
praia-de-sao-pedro-do-estoril,Praia de São Pedro do Estoril,Lisbon,38.6932164,-9.3695827,,208.4
praia-da-adraga,Praia da Adraga,Lisbon,38.8036526,-9.484971,,305.5
praia-do-guincho,Praia do Guincho,Lisbon,38.7331808,-9.4731771,,289.5
praia-da-ursa,Praia da Ursa,Lisbon,38.790524,-9.4925423,,287.0
